File,Total Instructions,Data Movement Instructions,Arithmetic and Logic Instructions,Control Flow Instructions,Miscellaneous Instructions,Addition Instructions,Subtraction Instructions,Multiply Instructions,Divide Instructions,Jump Instructions,No Operation (NOP) Instructions,Operations,
insert_custom_function_here.cpp,2104,901,1001,102,100,400,100,0,0,102,0,"{'mov': 700, 'add': 300, 'cmpl': 101, 'jle': 101, 'cltd': 100, 'shr': 100, 'and': 100, 'sub': 100, 'lea': 100, 'test': 100, 'cmovs': 100, 'sar': 100, 'addl': 100, 'ret': 0, 'movl': 1, 'jmp': 1, 'nop': 0, 'pop': 0, 'leave': 0}",
insert_custom_function_here.cpp,2104,901,1001,102,100,400,100,0,0,102,0,"{'mov': 700, 'add': 300, 'cmpl': 101, 'jle': 101, 'cltd': 100, 'shr': 100, 'and': 100, 'sub': 100, 'lea': 100, 'test': 100, 'cmovs': 100, 'sar': 100, 'addl': 100, 'ret': 0, 'movl': 1, 'jmp': 1, 'nop': 0, 'pop': 0, 'leave': 0}",
insert_custom_function_here.cpp,2104,901,1001,102,100,400,100,0,0,102,0,"{'mov': 700, 'add': 300, 'cmpl': 101, 'jle': 101, 'cltd': 100, 'shr': 100, 'and': 100, 'sub': 100, 'lea': 100, 'test': 100, 'cmovs': 100, 'sar': 100, 'addl': 100, 'ret': 0, 'movl': 1, 'jmp': 1, 'nop': 0, 'pop': 0, 'leave': 0}",
insert_custom_function_here.cpp,2104,901,1001,102,100,400,100,0,0,102,0,"{'mov': 700, 'add': 300, 'cmpl': 101, 'jle': 101, 'cltd': 100, 'shr': 100, 'and': 100, 'sub': 100, 'lea': 100, 'test': 100, 'cmovs': 100, 'sar': 100, 'addl': 100, 'ret': 0, 'movl': 1, 'jmp': 1, 'nop': 0, 'pop': 0, 'leave': 0}",
insert_custom_function_here.cpp,2104,901,1001,102,100,400,100,0,0,102,0,"{'mov': 700, 'add': 300, 'cmpl': 101, 'jle': 101, 'cltd': 100, 'shr': 100, 'and': 100, 'sub': 100, 'lea': 100, 'test': 100, 'cmovs': 100, 'sar': 100, 'addl': 100, 'ret': 0, 'movl': 1, 'jmp': 1, 'nop': 0, 'pop': 0, 'leave': 0}",
insert_custom_function_here.cpp,2104,901,1001,102,100,400,100,0,0,102,0,"{'mov': 700, 'add': 300, 'cmpl': 101, 'jle': 101, 'cltd': 100, 'shr': 100, 'and': 100, 'sub': 100, 'lea': 100, 'test': 100, 'cmovs': 100, 'sar': 100, 'addl': 100, 'ret': 0, 'movl': 1, 'jmp': 1, 'nop': 0, 'pop': 0, 'leave': 0}",
insert_custom_function_here.cpp,2104,901,1001,102,100,400,100,0,0,102,0,"{'mov': 700, 'add': 300, 'cmpl': 101, 'jle': 101, 'cltd': 100, 'shr': 100, 'and': 100, 'sub': 100, 'lea': 100, 'test': 100, 'cmovs': 100, 'sar': 100, 'addl': 100, 'ret': 0, 'movl': 1, 'jmp': 1, 'nop': 0, 'pop': 0, 'leave': 0}",
insert_custom_function_here.cpp,2104,901,1001,102,100,400,100,0,0,102,0,"{'mov': 700, 'add': 300, 'cmpl': 101, 'jle': 101, 'cltd': 100, 'shr': 100, 'and': 100, 'sub': 100, 'lea': 100, 'test': 100, 'cmovs': 100, 'sar': 100, 'addl': 100, 'ret': 0, 'movl': 1, 'jmp': 1, 'nop': 0, 'pop': 0, 'leave': 0}",
insert_custom_function_here.cpp,2104,901,1001,102,100,400,100,0,0,102,0,"{'mov': 700, 'add': 300, 'cmpl': 101, 'jle': 101, 'cltd': 100, 'shr': 100, 'and': 100, 'sub': 100, 'lea': 100, 'test': 100, 'cmovs': 100, 'sar': 100, 'addl': 100, 'ret': 0, 'movl': 1, 'jmp': 1, 'nop': 0, 'pop': 0, 'leave': 0}",
insert_custom_function_here.cpp,2104,901,1001,102,100,400,100,0,0,102,0,"{'mov': 700, 'add': 300, 'cmpl': 101, 'jle': 101, 'cltd': 100, 'shr': 100, 'and': 100, 'sub': 100, 'lea': 100, 'test': 100, 'cmovs': 100, 'sar': 100, 'addl': 100, 'ret': 0, 'movl': 1, 'jmp': 1, 'nop': 0, 'pop': 0, 'leave': 0}",
